layer,scenario,seed,fail_rate,domain_gini,researcher_gini,mean_reputation
L3_full,SPEC,2,0.5788235294117647,0.1479750778816198,0.41688473520249225,12.235366022349693
L3_full,SPEC,3,0.6422287390029325,0.11322556943423945,0.39250850964926753,10.94237359990653
L3_full,SPEC,4,0.6703296703296703,0.12267573696145107,0.40393663134187907,10.79022684323869
L3_full,SPEC,6,0.6713286713286714,0.11193829644533859,0.3916968477531857,11.98462990633804
L3_full,SPEC,9,0.6057884231536926,0.15964285714285698,0.43064868804664713,8.619117305584439
L3_full,SPEC,8,0.5811965811965812,0.10930555555555554,0.3855833333333334,11.483145940313475
L3_full,SPEC,10,0.572901325478645,0.16457990115321253,0.4281383855024712,9.58394200281549
L3_full,SPEC,12,0.6402349486049926,0.14600141542816703,0.4444585987261147,11.029855516063137
L3_full,GEN,1,0.6189131968948482,0.09964061096136567,0.41780772686433054,8.670771114477692
L3_full,SPEC,11,0.6240458015267175,0.1504964539007092,0.4089929078014185,11.083118498609636
L3_full,SPEC,13,0.6112311015118791,0.10929535232383802,0.4266266866566717,10.455159397475128
L3_full,GEN,2,0.6067827681026581,0.11105058365758746,0.43049313110458187,9.93234316190101
L3_full,GEN,0,0.6058673469387755,0.06332129963898914,0.42641155234657035,11.189530519748498
L3_full,SPEC,14,0.583743842364532,0.136761487964989,0.3785111418746929,11.116547957857764
L3_full,GEN,3,0.5625,0.1069796954314719,0.4434517766497461,12.136567175535603
L3_full,GEN,5,0.5731584258324924,0.11446991404011442,0.4762750716332378,10.495546114460048
L3_full,GEN,4,0.6228209191759112,0.09374130737134911,0.46789986091794167,11.263876955135272
L3_full,GEN,7,0.6084474885844748,0.08229007633587782,0.4351456613179623,10.462108067727373
L3_full,GEN,10,0.568445475638051,0.11652509652509635,0.46420077220077216,10.143155453922935
L3_full,GEN,8,0.5905118601747815,0.07871759890859464,0.4480218281036834,11.26819957312258
L3_full,GEN,11,0.6228239845261122,0.0894058697208302,0.45204739018012363,10.814611568001803
L3_full,GEN,6,0.6127049180327869,0.09973924380704036,0.4458670143415906,12.145044853915172
L3_full,GEN,9,0.6318082788671024,0.11037735849056585,0.398993710691824,10.288603189918101
L3_full,GEN,12,0.5990196078431372,0.09481865284974078,0.43649148778682445,10.583926705817378
L3_full,GEN,13,0.5884315906562848,0.1165671641791044,0.4273731343283582,10.4535591519011
L3_full,GEN,14,0.5608407079646017,0.08810035842293895,0.4509964157706092,10.972936021912206
