label,seed,winning_domain,winning_domain_mean_skill,init_lab_count_on_winner,labs_converged_on_winner,non_initial_labs,non_initial_converged,cosine_sim_mean,cosine_sim_std
FLAT,18,2,0.37635925092870787,2,4,8,3,0.9666393359823338,0.02053189962642391
FLAT,19,3,0.373050175813995,0,5,10,5,0.969486954765121,0.016853309176191905
FLAT,20,1,0.3599363959130543,1,4,9,4,0.9726458168566673,0.014755124712137236
FLAT,21,8,0.36936448826122537,1,2,9,1,0.9655474084542477,0.020378264376630914
FLAT,22,9,0.3651842949143373,2,7,8,5,0.9720613306637012,0.014826272866904276
FLAT,23,7,0.34770781528340644,1,4,9,3,0.96684276865628,0.019297469385109598
FLAT,24,5,0.35596901819784643,1,3,9,3,0.9649537111444609,0.01970877532536954
FLAT,25,3,0.37417896794280686,0,3,10,3,0.972525803239066,0.015947552623504717
FLAT,26,2,0.3509595470590648,0,1,10,1,0.9636014215982295,0.02135967954830646
FLAT,27,2,0.38181806427907616,1,4,9,3,0.9691417466169184,0.018305869198879006
FLAT,28,8,0.36088058959710145,1,3,9,3,0.9757898462009633,0.012501910448757024
FLAT,29,6,0.4142592158145091,0,10,10,10,0.9758082563016206,0.014208578819854236
