label,seed,step,mean_skill,peak_skill
PEAKED,6,200,0.37956005802081505,0.6668372367996497
PEAKED,6,250,0.39994579244011275,0.6648521005952829
PEAKED,6,300,0.41368864933257055,0.6584514254589319
PEAKED,7,0,0.32219385453288246,0.6974618485038622
PEAKED,7,50,0.32941182877492214,0.6977434746986141
PEAKED,7,100,0.347807664318991,0.6800037681922866
PEAKED,7,150,0.3703504391384091,0.6812416592531129
PEAKED,7,200,0.3898607931903145,0.6556489745559385
PEAKED,7,250,0.4102622917955038,0.6492057190557418
PEAKED,7,300,0.4268545645961535,0.6527679926543213
PEAKED,8,0,0.31464888447312733,0.7151386034875276
PEAKED,8,50,0.3352080989453083,0.7213444859114857
PEAKED,8,100,0.35412392490241157,0.7108357287604632
PEAKED,8,150,0.374612498793049,0.6903325738769226
PEAKED,8,200,0.3946573587534085,0.6664937042171869
PEAKED,8,250,0.4083549200120812,0.6573015076992952
PEAKED,8,300,0.4196736849678267,0.6447903383959596
PEAKED,9,0,0.3247340442096837,0.6880549295230577
PEAKED,9,50,0.334084810780899,0.6871733057392945
PEAKED,9,100,0.3594785477920266,0.6821692516596708
PEAKED,9,150,0.3802592785200536,0.696118922484948
PEAKED,9,200,0.396599969412288,0.6869788144531229
PEAKED,9,250,0.41130637019522,0.6779935221087046
PEAKED,9,300,0.41630297063770244,0.6803903453205739
PEAKED,10,0,0.31641912980835774,0.668546716225198
PEAKED,10,50,0.3303855032352566,0.6717904249205353
PEAKED,10,100,0.3531291930008401,0.6748475024622045
PEAKED,10,150,0.37734711932903686,0.6692724340071686
PEAKED,10,200,0.39772203578517384,0.6657842485096936
PEAKED,10,250,0.4071091811650683,0.6469896946465409
PEAKED,10,300,0.41491528454238064,0.6328137868099303
PEAKED,11,0,0.32586203676280434,0.7054781318526906
PEAKED,11,50,0.33757174339417456,0.7114836142010944
PEAKED,11,100,0.35379176739857865,0.6920151613318204
PEAKED,11,150,0.37158902005731104,0.6804891387046926
PEAKED,11,200,0.37929105900961124,0.6267139935371289
PEAKED,11,250,0.38989835008602175,0.6191458224701871
PEAKED,11,300,0.4000512039291683,0.621299816581424
PEAKED,12,0,0.326440504445129,0.6772558778334635
PEAKED,12,50,0.3416127804263518,0.6785816090177018
PEAKED,12,100,0.3583747741011373,0.6644440608277469
PEAKED,12,150,0.374510500174678,0.6434290230682435
PEAKED,12,200,0.3847420344207467,0.6093272810007884
PEAKED,12,250,0.39899485315068567,0.6055272174181243
PEAKED,12,300,0.41737666248785243,0.6071619291625414
PEAKED,13,0,0.311935313682257,0.6996180417537466
PEAKED,13,50,0.3317284829709207,0.7052127706428218
PEAKED,13,100,0.35188681667395294,0.7060712115253611
PEAKED,13,150,0.3655692188516006,0.6889077185887467
PEAKED,13,200,0.3723066734265729,0.6588324921122839
PEAKED,13,250,0.37944674627770236,0.6327886673246182
PEAKED,13,300,0.39385342080547,0.6312250047206465
PEAKED,14,0,0.32651631273190046,0.6851733779577641
PEAKED,14,50,0.3381269911106554,0.67269437670993
PEAKED,14,100,0.360008058296315,0.7006336742127824
PEAKED,14,150,0.3769727799257762,0.7020931689606487
PEAKED,14,200,0.39094046154073736,0.6976173443746302
PEAKED,14,250,0.40454632834025095,0.6893218993239059
PEAKED,14,300,0.4146757137767221,0.6902734741609158
PEAKED,15,0,0.31768471950695015,0.6527040073994087
PEAKED,15,50,0.3349447748421496,0.6592164166496572
PEAKED,15,100,0.35778967992942734,0.6660117542690932
PEAKED,15,150,0.37415300381474786,0.6416603030136255
PEAKED,15,200,0.39718475430626815,0.626998302873815
PEAKED,15,250,0.40781488700453816,0.6064859555168023
PEAKED,15,300,0.4158379659711297,0.5887030798882842
PEAKED,16,0,0.30238172179263684,0.6635343512155869
PEAKED,16,50,0.32151624129845413,0.6678025640233788
PEAKED,16,100,0.3379722776767375,0.6453027777412156
PEAKED,16,150,0.3540336416456911,0.6249313080568186
PEAKED,16,200,0.36606005187539614,0.6033400175586123
PEAKED,16,250,0.3769883966768114,0.6037118497355686
PEAKED,16,300,0.38795891563441276,0.5939396412518172
PEAKED,17,0,0.30714371401584695,0.6461471922717891
PEAKED,17,50,0.32338665686597823,0.6377137845238816
PEAKED,17,100,0.3432800762377339,0.6280924386929131
PEAKED,17,150,0.36333669819729913,0.6129639161282975
