label,mode,seed,step,fail_rate,attempts,failures
BROAD,default_cull,10,50,0.7228915662650602,332,240
BROAD,default_cull,10,100,0.7328646748681898,569,417
BROAD,default_cull,10,150,0.7212041884816754,764,551
BROAD,default_cull,10,200,0.7126546146527117,1051,749
BROAD,default_cull,10,250,0.7006172839506173,1296,908
BROAD,default_cull,10,300,0.677710843373494,1660,1125
BROAD,default_cull,11,25,0.7160493827160493,162,116
BROAD,default_cull,11,50,0.6973684210526315,228,159
BROAD,default_cull,11,100,0.7060702875399361,313,221
BROAD,default_cull,11,150,0.6765327695560254,473,320
BROAD,default_cull,11,200,0.6516034985422741,686,447
BROAD,default_cull,11,250,0.6366459627329193,966,615
BROAD,default_cull,11,300,0.622168284789644,1236,769
BROAD,default_cull,12,25,0.711340206185567,194,138
BROAD,default_cull,12,50,0.7044673539518901,291,205
BROAD,default_cull,12,100,0.6850393700787402,381,261
BROAD,default_cull,12,150,0.6652719665271967,478,318
BROAD,default_cull,12,200,0.6270676691729323,665,417
BROAD,default_cull,12,250,0.6281628162816282,909,571
BROAD,default_cull,12,300,0.6191275167785235,1192,738
BROAD,default_cull,13,25,0.7085714285714285,175,124
BROAD,default_cull,13,50,0.7137546468401487,269,192
BROAD,default_cull,13,100,0.6925064599483204,387,268
BROAD,default_cull,13,150,0.6884057971014492,552,380
BROAD,default_cull,13,200,0.6797385620915033,765,520
BROAD,default_cull,13,250,0.6698748796920115,1039,696
BROAD,default_cull,13,300,0.6366237482117311,1398,890
BROAD,default_cull,14,25,0.7058823529411765,170,120
BROAD,default_cull,14,50,0.7108433734939759,249,177
BROAD,default_cull,14,100,0.7016129032258065,372,261
BROAD,default_cull,14,150,0.6942567567567568,592,411
BROAD,default_cull,14,200,0.680089485458613,894,608
BROAD,default_cull,14,250,0.6624365482233503,1182,783
BROAD,default_cull,14,300,0.6588471849865952,1492,983
BROAD,no_cull,0,25,0.746031746031746,189,141
BROAD,no_cull,0,50,0.7402234636871509,358,265
BROAD,no_cull,0,100,0.7090909090909091,550,390
BROAD,no_cull,0,150,0.6845827439886846,707,484
BROAD,no_cull,0,200,0.6832535885167464,1045,714
BROAD,no_cull,0,250,0.6747159090909091,1408,950
BROAD,no_cull,0,300,0.6750278706800446,1794,1211
BROAD,no_cull,1,25,0.7733990147783252,203,157
BROAD,no_cull,1,50,0.7654986522911051,371,284
BROAD,no_cull,1,100,0.746268656716418,670,500
BROAD,no_cull,1,150,0.7487231869254342,979,733
BROAD,no_cull,1,200,0.723781388478582,1354,980
BROAD,no_cull,1,250,0.7030442274554853,1741,1224
BROAD,no_cull,1,300,0.6962998558385392,2081,1449
BROAD,no_cull,2,25,0.7258064516129032,186,135
BROAD,no_cull,2,50,0.6996805111821086,313,219
BROAD,no_cull,2,100,0.6883116883116883,385,265
BROAD,no_cull,2,150,0.6877828054298643,442,304
BROAD,no_cull,2,200,0.6637630662020906,574,381
BROAD,no_cull,2,250,0.6311475409836066,854,539
BROAD,no_cull,2,300,0.6155642023346304,1285,791
BROAD,no_cull,3,25,0.7165354330708661,127,91
BROAD,no_cull,3,50,0.7152777777777778,144,103
BROAD,no_cull,3,100,0.710691823899371,159,113
