param,level,label,seed,fail_rate,gini,mean_reputation
beta,1.5,BROAD,1,0.6905187835420393,0.037431192660550394,8.525965676775392
beta,1.5,BROAD,2,0.6439066551426103,0.10239605355884418,11.10682399670548
beta,1.5,BROAD,3,0.6343283582089553,0.06139817629179323,15.62657887290532
beta,1.5,BROAD,4,0.6747663551401869,0.06276243093922651,14.728918592726245
beta,1.5,BROAD,5,0.6826137689614936,0.04516450648055814,7.716180387720969
beta,1.5,BROAD,6,0.6270833333333333,0.07602862254025045,13.569127674992645
beta,1.5,BROAD,7,0.6581415174765558,0.06967559943582491,11.577063316833032
beta,1.5,FLAT,0,0.6985381272224417,0.03788819875776395,5.144037780680619
beta,1.5,FLAT,1,0.7124413145539906,0.0961696306429547,4.954064543625491
beta,1.5,FLAT,2,0.711217183770883,0.0598901098901099,4.495653817888557
beta,1.5,FLAT,3,0.7051905920519059,0.03196125907990299,5.342149464154954
beta,1.5,FLAT,4,0.7105678233438486,0.05127819548872181,4.567801616942108
beta,1.5,FLAT,5,0.7174515235457064,0.08081761006289301,4.1522616858205295
beta,1.5,FLAT,6,0.7048841059602649,0.07098039215686258,5.464773210399726
beta,1.5,FLAT,7,0.7141710156563629,0.04619718309859144,4.580436947251362
beta,2.0,PEAKED,0,0.6435643564356436,0.08380024360535931,13.83551686542342
beta,2.0,PEAKED,1,0.603448275862069,0.06162790697674403,16.614964198807535
beta,2.0,PEAKED,2,0.616,0.07190500252652843,16.021223359183427
beta,2.0,PEAKED,3,0.593607305936073,0.09757842597688482,14.824661932752415
beta,2.0,PEAKED,4,0.5824561403508772,0.08201219512195124,15.880101844002551
beta,2.0,PEAKED,5,0.6143344709897611,0.07333333333333325,15.872527191930523
beta,2.0,PEAKED,6,0.6148867313915858,0.08728951656708306,15.133272383490262
beta,2.0,PEAKED,7,0.6793103448275862,0.053934942287513055,16.008060447570173
beta,2.0,BROAD,0,0.6623853211009174,0.05771905424200274,11.308571005668721
beta,2.0,BROAD,1,0.6656891495601173,0.05274566473988429,11.150324536337578
