mode,label,seed,fail_rate,gini,mean_reputation,exploit_frac,explore_frac,train_frac,n_models
A,FLAT,20,0.7269544924154026,0.07645107794361516,3.443540942253823,0.9409359077500671,0.05229283990345937,0.006771252346473585,815
A,FLAT,21,0.7080234833659491,0.05531914893617018,4.2048012249768325,0.9356395816572808,0.055779029230356665,0.008581389112362564,873
A,FLAT,22,0.71,0.06532951289398281,4.773023437892622,0.9121748458031644,0.05960042906945562,0.028224725127379995,921
A,FLAT,23,0.719652036378015,0.08594436310395315,4.594438234768586,0.9239742558326629,0.05933226065969429,0.0166934835076428,919
A,FLAT,24,0.6961433580054538,0.132996632996633,4.266896089872216,0.9373156342182891,0.05343255564494503,0.00925181013676589,832
A,FLAT,25,0.7280187573270809,0.08682042833607895,4.003716309377845,0.9307455081791365,0.058661839635290966,0.01059265218557254,912
A,FLAT,26,0.724124513618677,0.08143712574850293,4.447070023624204,0.9359077500670421,0.05624832394743899,0.007843925985518906,873
A,FLAT,27,0.7012578616352201,0.12351233671988382,4.8066784992735885,0.9338294448913917,0.055443818718155,0.010726736390453205,868
A,FLAT,28,0.6721752498078402,0.22242225859247133,5.205401920889597,0.9444220970769643,0.049410029498525077,0.006167873424510592,783
A,FLAT,29,0.7123840258168617,0.0963963963963963,4.7956345236709295,0.8996379726468222,0.0616116921426656,0.0387503352105122,957
B,PEAKED,0,0.5934579439252337,0.06630934150076562,16.38424881901965,0.07683024939662107,0.40754894073478143,0.5156208098685975,6110
B,PEAKED,1,0.6145038167938931,0.05792736935340992,18.50795174392139,0.09506570126039153,0.42156074014481093,0.4833735585947975,6334
B,PEAKED,2,0.628,0.05267986479961362,16.979007267831584,0.09023866988468758,0.4106999195494771,0.49906141056583536,6166
B,PEAKED,3,0.6130653266331658,0.07409274193548376,16.51440276581258,0.07106462858675248,0.4223652453740949,0.5065701260391526,6344
B,PEAKED,4,0.5927272727272728,0.07203267659778945,17.23705783089401,0.09761330115312417,0.40728077232502014,0.4951059265218557,6116
B,PEAKED,5,0.6844262295081968,0.06873315363881383,17.74840615178339,0.08762402788951462,0.39936980423706087,0.5130061678734245,6008
B,PEAKED,6,0.6352459016393442,0.05936883629191314,16.819009375123464,0.08185840707964602,0.40768302493966213,0.5104585679806919,6119
B,PEAKED,7,0.6608996539792388,0.07735498839907184,17.5699953658446,0.09761330115312417,0.39997318315902386,0.502413515687852,6003
B,PEAKED,8,0.5968992248062015,0.08180974477958225,17.748609038603565,0.08567980691874497,0.40117994100294985,0.5131402520783052,6020
B,PEAKED,9,0.5994897959183674,0.07434154630416301,18.59592090519631,0.14360418342719228,0.3860284258514347,0.470367390721373,5798
B,PEAKED,10,0.6367521367521367,0.08563698967043765,16.885176259533047,0.08433896486993832,0.40037543577366586,0.5152855993563958,6009
B,PEAKED,11,0.6353790613718412,0.07012320328542088,16.18326966988425,0.09768034325556449,0.39152587825154195,0.5107937784928935,5876
B,PEAKED,12,0.6,0.0765583845478488,18.701790749739725,0.10123357468490211,0.3994368463395012,0.49932957897559666,5994
B,PEAKED,13,0.6255924170616114,0.07560743211052867,17.549827933495248,0.07461786001609011,0.4154599088227407,0.5099222311611692,6234
B,PEAKED,14,0.5574324324324325,0.07787924911212563,16.449761877565663,0.10471976401179942,0.39997318315902386,0.4953070528291767,6001
B,PEAKED,15,0.5174825174825175,0.05771543086172337,16.15398528369311,0.05115312416197372,0.4001072673639045,0.5487396084741217,5999
B,PEAKED,16,0.632183908045977,0.05079283887468011,16.26962105735451,0.09573612228479485,0.3939393939393939,0.5103244837758112,5912
B,PEAKED,17,0.5787037037037037,0.0619493908153701,17.300098652753952,0.0721373022257978,0.4079511933494234,0.5199115044247787,6121
B,PEAKED,18,0.6311787072243346,0.0842619745845552,17.04250586898701,0.09352373290426388,0.4109680879592384,0.4955081791364977,6172
B,PEAKED,19,0.5813953488372093,0.056947368421052635,16.053095719979027,0.07783588093322606,0.412711182622687,0.5094529364440868,6199
B,PEAKED,20,0.6687898089171974,0.05743411238189955,16.73741177948561,0.05510860820595334,0.40392866720300347,0.5409627245910432,6065
B,PEAKED,21,0.6150442477876106,0.0654662062160829,16.854954819382566,0.07877447036739073,0.3958836149101636,0.5253419147224457,5949
B,PEAKED,22,0.5673469387755102,0.04816513761467878,17.621808864531427,0.083869670152856,0.39936980423706087,0.5167605256100831,5997
B,PEAKED,23,0.6190476190476191,0.06804293971924014,19.42695331252763,0.0941941539286672,0.40627514078841515,0.49953070528291765,6094
B,PEAKED,24,0.6120689655172413,0.05134854771784214,16.22968470288874,0.07917672298203271,0.39481094127111827,0.526012335746849,5929
B,PEAKED,25,0.6563876651982379,0.061909262759924255,17.695445381846373,0.08152319656744436,0.42511397157414854,0.49336283185840707,6376
B,PEAKED,26,0.6244725738396625,0.07938969484742353,16.60190145000063,0.08373558594797532,0.4128452668275677,0.5034191472244569,6197
B,PEAKED,27,0.5761124121779859,0.10944131658726719,18.590911689879732,0.15694556181281846,0.3951461517833199,0.4479082864038616,5927
B,PEAKED,28,0.6,0.07348017621145364,18.16525302299047,0.10109949048002145,0.3964869938321266,0.502413515687852,5947
B,PEAKED,29,0.6102564102564103,0.05964826575476301,16.860372048487037,0.06885223920622151,0.42068919281308664,0.5104585679806919,6312
B,BROAD,0,0.6871227364185111,0.06510144927536232,14.003119376899432,0.362094395280236,0.2940466613032985,0.34385894341646556,4419
B,BROAD,1,0.6644549763033175,0.06580766813324934,12.942082724477846,0.388710109949048,0.29652721909359075,0.3147626709573612,4447
B,BROAD,2,0.6526479750778816,0.054922538730634685,16.400111573781313,0.22955215875569857,0.34546795387503354,0.4249798873692679,5185
B,BROAD,3,0.6752136752136753,0.05933232169954472,15.961357680013773,0.20843389648699384,0.3543175113971574,0.43724859211584877,5315
B,BROAD,4,0.6346456692913386,0.06733780760626384,14.623430212046872,0.2281442746044516,0.33836149101635826,0.43349423437919016,5080
B,BROAD,5,0.6610526315789473,0.05195599022004882,13.18460141202087,0.34345669080182356,0.29686242960579245,0.35968087959238404,4464
B,BROAD,6,0.6146881287726358,0.06609625668449182,14.802838648476202,0.3602172164119067,0.30618128184499865,0.33360150174309466,4597
B,BROAD,7,0.6548672566371682,0.05740072202166058,15.862996376279346,0.24510592652185573,0.33521051220166265,0.41968356127648165,5027
B,BROAD,8,0.677891654465593,0.05237613751263903,15.879411205516298,0.24101635827299545,0.32656208098685974,0.4324215607401448,4900
B,BROAD,9,0.6246913580246913,0.0684341859014348,12.559384342044517,0.4395950657012604,0.2703807991418611,0.2900241351568785,4064
B,BROAD,10,0.6683673469387755,0.06302652106084228,9.8357481284399,0.5775677125234647,0.21138374899436846,0.21104853848216681,3186
B,BROAD,11,0.6535859269282814,0.05055744062045564,16.482961778167315,0.2632072941807455,0.3527085009385894,0.3840842048806651,5291
B,BROAD,12,0.6294363256784968,0.06757344940152321,14.274702209461402,0.35083132207026013,0.3139581657280772,0.33521051220166265,4714
B,BROAD,13,0.6843373493975904,0.060209424083769614,15.341903380903116,0.29813622955215874,0.31663984982569054,0.3852239206221507,4758
B,BROAD,14,0.6704745166959578,0.048899999999999944,16.14468234635284,0.4100965406275141,0.2881469562885492,0.3017565030839367,4325
B,BROAD,15,0.6875352509870276,0.05758039816232774,10.457138330877962,0.6533252882810405,0.1737731295253419,0.1729015821936176,2621
B,BROAD,16,0.6975381008206331,0.04865725989986336,16.616375633548806,0.31442746044515957,0.31234915526950924,0.3732233842853312,4687
B,BROAD,17,0.6497584541062802,0.05536231884057963,10.728672852219574,0.6185974792169483,0.2019978546527219,0.17940466613032985,3051
B,BROAD,18,0.7040960451977402,0.054195804195804165,13.29409122840554,0.5292973987664253,0.24986591579511933,0.22083668543845536,3759
B,BROAD,19,0.6523545706371191,0.05958314454009961,17.45040540476807,0.2577098417806382,0.33085277554304104,0.41143738267632074,4963
B,BROAD,20,0.6308370044052863,0.05744400527009219,11.811007058207299,0.41358272995441137,0.2697774202198981,0.31663984982569054,4051
B,BROAD,21,0.67,0.03777777777777769,13.01485497265067,0.5811879860552427,0.2061544650040225,0.21265754894073477,3101
B,BROAD,22,0.6357388316151202,0.05549974886991449,15.843861584465017,0.2069589702333065,0.34493161705551084,0.4481094127111826,5170
B,BROAD,23,0.6648291069459757,0.041444498303441435,16.184573271412777,0.32656208098685974,0.305041566103513,0.36839635290962724,4586
B,BROAD,24,0.6770740410347904,0.052813629323696265,15.442591399398632,0.4022526146419952,0.27695092518101366,0.32079646017699115,4162
B,BROAD,25,0.6307053941908713,0.08512009373169294,13.624197185395163,0.2590506838294449,0.3447975328506302,0.3961517833199249,5178
B,BROAD,26,0.697508896797153,0.05909330521876632,15.478146434566375,0.3063153660498793,0.3232770179672835,0.3704076159828372,4853
B,BROAD,27,0.6626865671641791,0.08184818481848177,14.70631186656551,0.24014481094127113,0.3486859747921695,0.4111692142665594,5238
B,BROAD,28,0.6517295597484277,0.05288683602771349,13.72496523178253,0.4674175382139984,0.25147492625368734,0.28110753553231427,3786
B,BROAD,29,0.6900369003690037,0.04075801749271135,13.428284132627562,0.38696701528559935,0.29096272459104316,0.3220702601233575,4371
B,FLAT,0,0.7153692614770459,0.035567010309278224,5.164744821341388,0.9152587825154197,0.07408152319656744,0.010659694288012871,1142
B,FLAT,1,0.6906812842599843,0.0672937771345874,4.342578663859481,0.9314159292035398,0.06710914454277286,0.0014749262536873156,1034
B,FLAT,2,0.7204472843450479,0.04974093264248691,4.9205793415744745,0.9198846875838026,0.07099758648431215,0.009117725931885224,1097
B,FLAT,3,0.7189465408805031,0.041768707482993106,4.78059178487047,0.9218959506570126,0.07079646017699115,0.007307589165996246,1091
B,FLAT,4,0.7102952913008779,0.04925373134328348,4.610382293909736,0.9184768034325557,0.07267363904532047,0.008849557522123894,1113
B,FLAT,5,0.726232741617357,0.04791366906474814,4.675937682011539,0.9227004558862966,0.06871815500134085,0.008581389112362564,1060
B,FLAT,6,0.7145141943222711,0.07313432835820888,5.248338821476225,0.9158621614373826,0.07508715473317243,0.009050683829444892,1149
B,FLAT,7,0.7083503054989817,0.07433035714285707,6.401799951363809,0.8938723518369536,0.0803834808259587,0.02574416733708769,1235
B,FLAT,8,0.7245967741935484,0.043504531722054374,4.415248314330234,0.9219629927594529,0.06992491284526683,0.008112094395280236,1081
B,FLAT,9,0.7045636509207366,0.052305665349143604,5.21497538454296,0.9113703405738804,0.07388039688924644,0.014749262536873156,1135
B,FLAT,10,0.7154373236598146,0.07078947368421051,4.898067528810176,0.9093590775006705,0.07381335478680612,0.016827567712523465,1130
B,FLAT,11,0.7034510433386838,0.023284313725490113,5.2352676555089035,0.9130463931348887,0.07455081791364977,0.012402788951461519,1139
B,FLAT,12,0.7209116353458617,0.04157894736842094,5.08450705412479,0.9102306248323947,0.07495307052829177,0.014816304639313488,1150
B,FLAT,13,0.7062216728471363,0.051327433628318486,6.302151807521195,0.8901850362027354,0.08480825958702065,0.02500670421024403,1300
B,FLAT,14,0.7041420118343196,0.061930294906166194,4.7447293273164926,0.9238401716277822,0.06891928130866184,0.007240547063555913,1059
B,FLAT,15,0.71298495645289,0.04731323722149394,4.926245992179358,0.9186108876374363,0.07119871279163315,0.010190399570930545,1087
B,FLAT,16,0.716183574879227,0.04589743589743578,5.052682036701686,0.9180075087154733,0.07180209171359614,0.010190399570930545,1109
B,FLAT,17,0.7016194331983806,0.050065359477124094,4.944917639025669,0.909895414320193,0.07669616519174041,0.013408420488066506,1176
B,FLAT,18,0.7094753328112764,0.04072992700729916,4.547720505636307,0.9257173504961116,0.06999195494770716,0.004290694556181282,1082
B,FLAT,19,0.7027888446215139,0.06339869281045751,5.204721304270942,0.9110351300616787,0.07260659694288013,0.016358272995441136,1121
B,FLAT,20,0.7191862784204228,0.045112781954887105,5.043045625631401,0.9236390453204613,0.07207026012335747,0.004290694556181282,1111
B,FLAT,21,0.7178557033454253,0.03237410071942448,5.639478024595357,0.9025207830517565,0.07776883883078574,0.019710378117457763,1196
B,FLAT,22,0.6887192536047498,0.06849740932642479,7.328038401092021,0.8607535532314293,0.09258514347009922,0.04666130329847144,1419
B,FLAT,23,0.7159270998415214,0.03510638297872326,5.0594702762100585,0.9168677929739877,0.07481898632341111,0.008313220702601234,1146
B,FLAT,24,0.7053291536050157,0.05217932752179322,5.213417937493205,0.9229015821936176,0.0719361759184768,0.005162241887905605,1109
B,FLAT,25,0.7279207920792079,0.03584379358437917,4.6791370664745795,0.918342719227675,0.07334406006972378,0.008313220702601234,1132
B,FLAT,26,0.7275706677591152,0.04007989347536611,5.27893639560005,0.8984982569053366,0.08132207026012336,0.020179672834540092,1235
B,FLAT,27,0.7245313773431132,0.0882697947214075,4.941107216675357,0.9047331724322875,0.07649503888441941,0.018771788683293107,1170
B,FLAT,28,0.7203155818540434,0.04527220630372475,4.751675707675607,0.9273934030571199,0.06952266023062484,0.003083936712255296,1075
