mean_init,label,seed,fail_rate,gini,mean_skill_end
0.32,FLAT,4,0.6966556759302873,0.080625,0.33589476941567126
0.32,FLAT,5,0.7291763610981852,0.043669985775248936,0.320669017585223
0.32,FLAT,6,0.7160826594788859,0.04191570881226054,0.3202227802643933
0.32,FLAT,7,0.6984062116877809,0.08259023354564755,0.33659827241897977
0.32,FLAT,8,0.6726078799249531,0.07664897649734648,0.30860375072867974
0.32,FLAT,9,0.6794258373205742,0.061645569620253166,0.34305457083466834
0.45,PEAKED,0,0.5401606425702812,0.08812457987900515,0.5009015098111634
0.45,PEAKED,1,0.5022421524663677,0.062089752176825184,0.5149913314154153
0.45,PEAKED,2,0.47836538461538464,0.08099742046431642,0.5191856968879904
0.45,PEAKED,3,0.4605809128630705,0.07175408426483233,0.5320450177465754
0.45,PEAKED,4,0.5399305555555556,0.09582132564841499,0.5393894749471991
0.45,PEAKED,5,0.5063752276867031,0.102561669829222,0.5193401979693514
0.45,PEAKED,6,0.5028901734104047,0.09102594064033653,0.5252900444734065
0.45,PEAKED,7,0.5418894830659536,0.08152777777777778,0.5187592576811054
0.45,PEAKED,8,0.5637707948243993,0.09221190853520489,0.51323444401779
0.45,PEAKED,9,0.5076142131979695,0.125526384195477,0.53699542134005
0.45,BROAD,0,0.5463286713286714,0.061083743842364535,0.4796123092995689
0.45,BROAD,1,0.5587151132174829,0.07465263157894737,0.47670735357352917
0.45,BROAD,2,0.5763582966226138,0.05498812351543943,0.4688677097969279
0.45,BROAD,3,0.5087527352297593,0.07087912087912088,0.5045473104215312
0.45,BROAD,4,0.5257510729613734,0.0748283752860412,0.5139338811113332
0.45,BROAD,5,0.5578673602080624,0.0770940170940171,0.48498477507413557
0.45,BROAD,6,0.5646687697160884,0.05649651972157772,0.47953552832441815
0.45,BROAD,7,0.5335097001763669,0.06744186046511629,0.49850887782825054
0.45,BROAD,8,0.5032608695652174,0.06816244672850338,0.4887750779580776
0.45,BROAD,9,0.5343811394891945,0.09538408542886669,0.49316483000704925
0.45,FLAT,0,0.6031460674157303,0.07670682730923695,0.44720464080402766
0.45,FLAT,1,0.6240568131380382,0.08045977011494253,0.45225749567748075
0.45,FLAT,2,0.6123090745732255,0.04774156660949114,0.4737774089165703
0.45,FLAT,3,0.5700846660395108,0.048736462093862815,0.47693971497933785
0.45,FLAT,4,0.5849748053137883,0.07140077821011673,0.46037884635679044
0.45,FLAT,5,0.6016122189223589,0.04896551724137931,0.4616173124747313
0.45,FLAT,6,0.5925754060324826,0.052916224814422055,0.4585267181241836
0.45,FLAT,7,0.6143701682582993,0.061049562682215744,0.4640988355509712
0.45,FLAT,8,0.6070947462954648,0.06264090177133655,0.4496232001217978
0.45,FLAT,9,0.6148395164651939,0.05916955017301038,0.4616689219929207
0.55,PEAKED,0,0.5134228187919463,0.05908710217755444,0.5908211640084499
0.55,PEAKED,1,0.4732360097323601,0.08129770992366413,0.5938920527655875
0.55,PEAKED,2,0.47416413373860183,0.06275477365372238,0.5965264665603328
0.55,PEAKED,3,0.48221343873517786,0.0608062263021353,0.6085355854568817
0.55,PEAKED,4,0.48493543758967,0.09308370044052863,0.6026800721926517
0.55,PEAKED,5,0.44680851063829785,0.07275869079081114,0.6019051843624086
0.55,PEAKED,6,0.4847972972972973,0.05869426072114359,0.6021632369545699
0.55,PEAKED,7,0.509493670886076,0.0675150992234685,0.6103682168965125
0.55,PEAKED,8,0.49324324324324326,0.0636709663776697,0.5891804126708271
0.55,PEAKED,9,0.4601910828025478,0.09335589049523224,0.6136492804090314
0.55,BROAD,0,0.46985962014863747,0.07430593358737071,0.5831567036899731
0.55,BROAD,1,0.4964936886395512,0.07267657992565056,0.5683183850419831
0.55,BROAD,2,0.47963340122199594,0.05773294908741595,0.5820165214475159
0.55,BROAD,3,0.5084087968952135,0.049888343010272444,0.5972852988714983
0.55,BROAD,4,0.45371577574967403,0.07271087054578258,0.598909279703439
0.55,BROAD,5,0.4879089615931721,0.06294508147254074,0.5776495172350593
0.55,BROAD,6,0.46503884572697,0.06271267673136832,0.5901776671618693
0.55,BROAD,7,0.49916943521594687,0.07173125174240312,0.5863492255390923
0.55,BROAD,8,0.5193798449612403,0.06048746191703773,0.5875255850535817
0.55,BROAD,9,0.4588464031108231,0.06867787668974612,0.5910437475488965
0.55,FLAT,0,0.5068687825675036,0.0807897545357524,0.5526187464421928
0.55,FLAT,1,0.5355493998153278,0.06455089820359282,0.5572992515784608
0.55,FLAT,2,0.5079136690647482,0.03595744680851064,0.5557028076285326
0.55,FLAT,3,0.5284438175834508,0.053093060785368476,0.5565531422569081
0.55,FLAT,4,0.5147426286856571,0.07109004739336493,0.5579527512550679
0.55,FLAT,5,0.5171026156941649,0.045774647887323945,0.5688431714011002
0.55,FLAT,6,0.5417789757412399,0.04927646610814928,0.5484010612402702
0.55,FLAT,7,0.4990999099909991,0.0617881200244948,0.5788655398139643
0.55,FLAT,8,0.4904580152671756,0.06818431157432803,0.5645502662464554
0.55,FLAT,9,0.515640766902119,0.06862549800796813,0.5565045949921913
