label,seed,fail_rate,gini,mean_actual,mean_reported,bias_gap,mean_reputation,reputation_variance,mean_reputation_lost,debunk_impact_rate,exploit_frac,explore_frac,train_frac
PEAKED,17,0.5555555555555556,0.1700781805259417,0.8390182758665853,0.9499999999999998,0.11098172413341456,11.384772604149646,56.601758011247995,0.0009242611419964835,3.584947376977367e-05,0.10163582729954411,0.26434700992223115,0.6340171627782247
PEAKED,18,0.5570652173913043,0.15397225725094565,0.8417730347962982,0.9499999999999998,0.10822696520370167,12.576917754479478,76.58471652087917,5.888063831238136e-05,3.3570134990090537e-06,0.138911236256369,0.26790024135156876,0.5931885223920622
PEAKED,19,0.5620689655172414,0.16850335070737144,0.8443236244259602,0.9499999999999998,0.10567637557403964,11.109609182896547,46.60903637241258,0.002008116866914671,0.00010159469144039865,0.10552426924108341,0.26810136765888976,0.6263743631000268
PEAKED,20,0.6167400881057269,0.1045454545454545,0.8378058707741818,0.9499999999999998,0.11219412922581806,11.049692535317545,46.98608176319846,0.00513977227484423,0.00032111178164290113,0.07890855457227139,0.2745374094931617,0.646554035934567
PEAKED,21,0.5643939393939394,0.09205479452054788,0.848304953098439,0.9499999999999998,0.10169504690156084,11.888353873971374,52.070742156098724,0.01187148724877216,0.0008337632303684396,0.09607133279699652,0.27279431482971306,0.6311343523732904
PEAKED,22,0.5606694560669456,0.12283298097251572,0.8433321966838252,0.9499999999999998,0.10666780331617465,11.640249942074062,48.377680329135586,0.0008384756663866327,9.572315279581988e-05,0.083668543845535,0.2699785465272191,0.6463529096272459
PEAKED,23,0.563265306122449,0.1225314777998674,0.8414047970847417,0.9499999999999998,0.10859520291525815,12.122775025074587,62.255242176617315,0.001995741372207139,0.00011911257369612292,0.08876374363100027,0.2713864306784661,0.6398498256905336
PEAKED,24,0.5454545454545454,0.1340298507462685,0.845644836448351,0.9499999999999998,0.10435516355164887,10.86170706755396,58.99194086997077,0.0002366053758317334,1.3371940510131951e-05,0.13837489943684633,0.2585143470099222,0.6031107535532314
PEAKED,25,0.5959183673469388,0.14840312278211498,0.8319253252943982,0.9499999999999998,0.11807467470560162,11.639909064765407,49.25323917018163,0.0030715640726294885,0.00020215709841925268,0.09345669080182355,0.2863368195226602,0.6202064896755162
PEAKED,26,0.5495495495495496,0.11157024793388426,0.8397307062532888,0.9499999999999998,0.11026929374671102,11.987227738250224,58.24258052635765,0.0,0.0,0.12536873156342182,0.26883883078573345,0.6057924376508448
PEAKED,27,0.533442088091354,0.193779160186625,0.8398593400693374,0.9499999999999998,0.11014065993066247,10.474390945321636,54.26221586422614,0.0,0.0,0.23136229552158755,0.24229015821936176,0.5263475462590507
PEAKED,28,0.5201729106628242,0.1899721448467966,0.8486128146197174,0.9499999999999998,0.10138718538028246,10.888161660037486,60.955900893353856,0.006066386087169875,0.00033342212854659085,0.2669616519174041,0.21507106462858674,0.5179672834540091
PEAKED,29,0.570446735395189,0.12097064110245648,0.8290108379093969,0.9499999999999998,0.12098916209060295,13.277650667664098,67.73873227598303,0.0014009405631864977,8.772876315801736e-05,0.10934566908018235,0.2891525878251542,0.6015017430946634
BROAD,0,0.6770682148040639,0.08159806295399497,0.8444297084548653,0.9499999999999998,0.10557029154513453,9.760752928610435,41.81523597257511,0.0006837173044185013,3.689054697583764e-05,0.5116653258246179,0.17699115044247787,0.31134352373290425
BROAD,1,0.667932718393923,0.0672396359959555,0.8420967367905634,0.9499999999999998,0.10790326320943644,7.424981647229856,24.790510023868645,0.0024643616914844617,0.00015568359212709732,0.6623759721104854,0.13133547868061143,0.2062885492089032
BROAD,2,0.6147368421052631,0.08473520249221167,0.8363545863530835,0.9499999999999998,0.11364541364691638,9.991730975049956,51.0662573498313,0.008158999206653734,0.00048104575442306204,0.3417806382408152,0.22418879056047197,0.4340305711987128
BROAD,3,0.6464,0.10074019245003685,0.8351377361088028,0.9499999999999998,0.11486226389119703,10.910251664859924,51.39891372715562,0.0,0.0,0.22687047465808527,0.2685706623759721,0.5045588629659427
BROAD,4,0.624868282402529,0.10773480662983426,0.8462647468644435,0.9499999999999998,0.10373525313555632,9.194738174203275,45.34137601496975,0.0,0.0,0.34372485921158485,0.2166130329847144,0.43966210780370074
BROAD,5,0.6823697359029265,0.11960038058991418,0.8386265015746256,0.9499999999999998,0.11137349842537425,8.275047891382108,30.614185402429875,0.003770624188429195,0.00025118762883416995,0.5132743362831859,0.17384017162778226,0.31288549208903194
BROAD,6,0.6543478260869565,0.08945102260495141,0.8419806303236813,0.9499999999999998,0.10801936967631853,6.802809846009694,22.371772913637752,0.0046977633960208565,0.000571897117332918,0.5058997050147492,0.1731027085009386,0.32099758648431215
BROAD,7,0.5954631379962193,0.10100200400801596,0.846076780888076,0.9499999999999998,0.10392321911192381,7.866967365426978,32.348222332134384,0.0005279354260990262,2.499606379308064e-05,0.3895816572807723,0.20850093858943416,0.4019174041297935
BROAD,8,0.596537949400799,0.12575173477255186,0.8430755107728528,0.9499999999999998,0.10692448922714703,10.380843977384494,48.703421557257286,0.0,0.0,0.2758782515419684,0.2242558326629123,0.49986591579511935
BROAD,9,0.635743519781719,0.0915207373271889,0.8498696910788531,0.9499999999999998,0.10013030892114672,8.516491588820028,27.73563067466476,0.002399566807866975,0.0002668320936323207,0.5361356932153393,0.1710244033252883,0.2928399034593725
BROAD,10,0.677710843373494,0.16083499005964197,0.8456593595922909,0.9499999999999998,0.10434064040770896,8.12365276704638,28.97947697372509,0.0013626252392150726,6.023869926933356e-05,0.6116251005631537,0.14621882542236525,0.24215607401448108
BROAD,11,0.622168284789644,0.08465266558966067,0.8374169398020086,0.9499999999999998,0.11258306019799125,9.384555567696045,44.162521704662375,0.009659666614066231,0.000832847893115716,0.44837758112094395,0.1974389916867793,0.35418342719227675
BROAD,12,0.6191275167785235,0.12188679245283018,0.8387910846852569,0.9499999999999998,0.11120891531474297,8.427189590989219,32.47351873713158,0.0,0.0,0.4393939393939394,0.20186377044784123,0.35874229015821935
BROAD,13,0.6366237482117311,0.1130151843817786,0.8485085273390285,0.9499999999999998,0.10149147266097136,8.164650935221307,33.23492874733543,0.004896745782903655,0.000356015301559194,0.5174979887369268,0.16512469831053903,0.3173773129525342
BROAD,14,0.6588471849865952,0.04845360824742251,0.8504783862823228,0.9499999999999998,0.0995216137176771,8.540046530917103,32.72309611592545,0.003764921727590922,0.0004743141077446321,0.551421292571735,0.17156074014481093,0.277017967283454
BROAD,15,0.6888619854721549,0.05499153976311333,0.8423765771919245,0.9499999999999998,0.10762342280807535,9.274254990929037,37.32858463405514,0.0,0.0,0.6206757843925985,0.14963797264682221,0.22968624296057924
BROAD,16,0.6995336442371752,0.04569319114027892,0.8396228644302444,0.9499999999999998,0.11037713556975548,9.238407356149384,44.39623048637921,0.0,0.0,0.5506838294448914,0.168543845534996,0.2807723250201126
BROAD,17,0.6738875878220141,0.1006166495375127,0.8380485652391947,0.9499999999999998,0.11195143476080516,7.119417556902517,25.251544392293045,0.0,0.0,0.6383748994368463,0.13079914186108876,0.2308259587020649
BROAD,18,0.6422594142259415,0.1418197725284338,0.8411002143848713,0.9499999999999998,0.10889978561512859,9.915309340642699,46.686606690781225,0.0,0.0,0.5211182622687047,0.18456690801823544,0.2943148297130598
BROAD,19,0.6412825651302605,0.11103896103896105,0.8436854583517679,0.9499999999999998,0.10631454164823195,10.01533288969889,54.124977493317026,0.0,0.0,0.3533118798605524,0.21942880128720837,0.4272593188522392
BROAD,20,0.6434782608695652,0.1568791946308723,0.8357532763535716,0.9499999999999998,0.1142467236464283,10.289735416800875,54.76944510057235,0.0,0.0,0.552024671493698,0.1570796460176991,0.29089568248860287
BROAD,21,0.6751412429378532,0.08297872340425516,0.8471648341038648,0.9499999999999998,0.10283516589613506,7.622592637044822,33.87304705303656,0.0,0.0,0.6511799410029498,0.14045320461249663,0.2083668543845535
